factual_questions,scenario_based_questions,advice_seeking_questions,ground_truth_doc_ids,ground_truth_docs
What is the penalty for persuading or inciting someone to illegally use narcotic substances?,"If a person uses tricks to persuade their friend who is under 18 into using illegal narcotics, what legal consequences might they face?","As an individual concerned about preventing drug abuse among young people, what steps can I take based on this law?",14385794-cf86-4193-8846-8e618d916f48,"Article 258. Persuading or inciting others to use narcotic substances1. Any person who persuades or incites or uses other tricks to persuade another person to 
illegally use narcotic substances shall face a penalty of 01 - 05 years' imprisonment. 
2. This offence committed in any of the following cases shall carry a penalty of 05 - 10 years' 
imprisonment: 
a) The offence is committed by an organized group; 
b) The offence has been committed more than once; 
c) The offence is committed by despicable motives or self-seeking purpose; 
d) The offence is committed against a person aged from 13 to under 18; 
dd) The offence is committed against a female whose pregnancy is known by the offender; 
e) The offence is committed against ≥ 02 people; 
g) The offence is committed against a person undergoing rehabilitation; 
h) The offence results in 31% - 60% physical disability of a person; 
i) The offence results in infection of a dangerous disease of a person; 
k) Dangerous recidivism; 
3. This offence committed in any of the following cases shall carry a penalty of 10 - 15 years' 
imprisonment: 
a) The offence results in ≥ 61% physical disability or death of a person; 
b) The offence results in infection of a dangerous disease of ≥ 02 people; 
c) The offence is committed against a person under 13; 
4. If this offence results in the death of ≥ 02 people, the offender shall face a penalty of 15 - 20 
years' imprisonment or life imprisonment. 
5. The offender might also be liable to a fine of from VND 5,000,000 to VND 100,000,000. 
"
What penalties can a person face if they violate drug regulations after being disciplined or fined previously?,"If someone was caught transporting narcotic drugs without authorization and has no prior record, but then repeats the offense later, what legal consequences might they encounter under Vietnamese law?","As an individual involved in handling psychotropic substances professionally, how can I ensure my actions comply with all relevant regulations to avoid potential criminal liability?",fc2103c4-d10e-411a-9066-c9599d92b4d1,"Article 259. Offences against regulations on management, use of narcotic substances, 
precursors, narcotic drugs, and psychotropic drugs 
1. A person who is responsible for manufacturing, transport, preservation, storage, trading, 
distribution, use, processing, exchange, export, import, transit through Vietnam’s territory, 
prescription, sale, analysis, research of narcotic substances, precursors, narcotic drugs, or 
psychotropic drugs but commits any of the following acts despite the fact that he/she was 
disciplined or previously incurred a civil penalty any of the aforementioned offences or has a 
previous conviction for a drug-related crime which has not been expunged shall be liable to a 
fine of from VND 10,000,000 to VND 100,000,000 or face a penalty of 01 - 05 years' 
imprisonment:  
a) Violations against regulations on export, import, temporary import, transit through Vietnam’s 
territory substances containing narcotic substances, narcotic drug, psychotropic drug, and 
precursors;  
b) Violations against regulations on research, analysis, manufacturing, preservation of narcotic 
substances and/or precursors;c) Violations against regulations on delivery, storage, transport of narcotic substances and/or 
precursors; 
d) Violations against regulations on distribution, trading, use, exchange of narcotic substances 
and/or precursors; 
dd) Violations against regulations on management, control storage of narcotic substances and/or 
precursors in the border checkpoint area or at sea;  
e) Allowing an unqualified person to keep or use narcotic substances or psychotropic substances 
or other narcotic substances. 
2. This offence committed in any of the following cases shall carry a penalty of 05 - 10 years' 
imprisonment: 
a) The offence is committed by an organized group; 
b) The offence has been committed more than once; 
c) Dangerous recidivism. 
3. The offender might also be liable to a fine of from VND 10,000,000 to VND 50,000,000, 
prohibited from holding certain positions or doing certain works for 01 - 05 years. "
What are the penalties for violating road traffic safety regulations that result in bodily harm to two people each suffering from between 31% and 60% physical disability?,"If a driver without a license causes an accident resulting in one person's death, what legal consequences might they face under this law?",What steps can someone take if they are involved in a road traffic incident that resulted in property damage exceeding VND 1.5 billion?,114ca91d-d447-4b52-af05-908968e85d5d,"Article 260. Offences against regulations on road traffic 
1. Any person who violates regulations on road traffic safety in any of the following cases shall 
be liable to a fine of from VND 30,000,000 to VND 100,000,000 or face a penalty of up to 03 
years' community sentence or 01 - 05 years' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 10 years' 
imprisonment: 
a) The offender does not have a driving license as prescribed; 
b) The offender is under the influence of alcohol and with blood or breath alcohol content above 
the limit, or under the influence of drugs or other strong stimulants banned by law; 
c) The offender leaves the site after the accident to evade responsibility or fails to help the 
victim;d) The offender fails to comply with the traffic controller's commands; 
dd) The offence results in the death of 02 people; 
e) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
g) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
h) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000; 
3. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
4. If the offence results in bodily harm to 01 person who suffers from 31% - 60% physical 
disability, or bodily harm to 02 or more people who suffer from a total physical disability of 31% 
- 60%, the offender shall be liable to a fine of from VND 30,000,000 to VND 100,000,000 or 
face a penalty of up to 03 years' community sentence. 
5. If a road traffic offence poses a threat to life, health or property of other people and is not 
promptly prevented, the offender shall be liable to a fine of from VND 10,000,000 to VND 
50,000,000 or face a penalty of up to 01 year's community sentence or 03 - 12 months' 
imprisonment. 
6. The offender might also be prohibited from holding certain positions or doing certain jobs for 
01 - 05 years. 
"
What are the penalties for obstructing road traffic according to this regulation?,"If someone illegally removes road signs during construction on a public road, and it causes two people to be injured with a total physical disability of 61%, what legal consequences might they face?","As an individual involved in construction on public roads, how can I ensure that my actions do not violate the obstruction of road traffic regulations?",e02dc2c1-1d3e-4669-95a3-356c8141eda0,"Article 261. Obstruction of road traffic  
1. Any person who illegally digs, drills, cuts, buries road traffic works; illegally places or spills 
materials, wastes, garbage, slippery substances, sharp items, or other obstacles that obstruct road 
traffic; illegally removes, moves, blocks, or destroys road signs, traffic lights, milestones, road 
mirrors, median strip, or other road safety equipment; opens illegal crossing; illegally uses 
sidewalks, carriageway; illegally uses road safety corridors or commits violations against 
regulations on road traffic safety during construction on public roads in any of the following 
cases shall be liable to a fine of from VND 30,000,000 to VND 100,000,000, up to 03 years' 
community sentence or 06 - 36 months' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability;c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a fine of from VND 
100,000,000 to VND 300,000,000 or a penalty of 02 - 07 years' imprisonment: 
a) The offence is committed on a mountain pass, freeway, or dangerous road; 
b) The offence results in the death of 02 people; 
c) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
d) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
dd) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 05 - 10 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to ≥ 03 people, each of whom suffers from ≥ 61% physical 
disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
4. Any person who illegally digs, drills, cuts, buries road traffic works; illegally places or spills 
materials, wastes, garbage, slippery substances, sharp items, or other obstacles that obstruct road 
traffic; illegally removes, moves, blocks, or destroys road signs, traffic lights, milestones, road 
mirrors, median strip, or other road safety equipment; opens illegal crossing; illegally uses 
sidewalks, carriageway; illegally uses road safety corridors or commits violations against 
regulations on road traffic safety during construction on public roads and as a result causes 
bodily harm to 01 person who suffers from 31% - 60% physical disability or bodily harm to ≥ 02 
people who suffers from a total physical disability of 31% - 60% shall be liable to a fine of from 
VND 30,000,000 to VND 100,000,000, up to 03 years' community sentence. 
5. If this offence poses a threat to life, health or property of other people and is not promptly 
prevented, the offender shall be liable to a fine of from VND 5,000,000 to VND 20,000,000 or 
face a penalty of up to 01 year's community sentence. 
"
What is the fine range and possible penalties for allowing unroadworthy vehicles on public roads?,"If a vehicle owner knows it's unsafe but lets someone drive it, leading to an injury with specific disability percentages, what legal consequences might they face?","As a business owner, how can I ensure my company complies with the regulations regarding unroadworthy vehicles?",e1ef1ff0-6cb5-4049-8448-257a6a5c4503,"Article 262. Allowing the use of unroadworthy road vehicles, special-use vehicles on public 
roads 
1. Any person who is responsible for operation or operating conditions of vehicles but allows the 
use of unroadworthy road vehicles or heavy-duty vehicles on public roads in any of the 
following cases shall be liable to a fine of from VND 20,000,000 to VND 100,000,000 or face a 
penalty of up to 03 years' community sentence or 06 - 36 months' imprisonment:a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 07 years' 
imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 05 - 10 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
4. Any person who is responsible for operation or operating conditions of vehicles but allows the 
use of unroadworthy road vehicles or heavy-duty vehicles on public roads and as a results causes 
bodily harm to 01 person who suffers from 31% - 60% physical disability or bodily harm to ≥ 02 
people who suffer from a total physical disability of 31% - 60% shall be liable to a fine of from 
VND 20,000,000 to VND 100,000,000 or face a penalty of up to 03 years' community sentence. 
5. The offender might also be prohibited from holding certain positions or doing certain jobs for 
01 - 05 years. 
"
What is the penalty range and possible sentences for requesting an unqualified person to operate a vehicle on public roads?,"If someone knows their friend doesn't have a driver's license, isn't of legal driving age, or is under the influence but still requests them to drive, what are the potential consequences they might face if an accident occurs with injuries?","As a responsible citizen, how can I avoid liability when requesting someone else to operate a vehicle on public roads?",26b807fc-d508-4629-8b51-5c58614f2a32,"Article 263. Requesting an unqualified person to operate a vehicle on public roads 
1. Any person who makes use of his/her power to request another person to operate a vehicle on 
public roads in the knowledge that he/she does not have a driver license, capable health, or is 
under the minimum driving age, is under the influence of alcohol and with blood or breath 
alcohol content above the limit, or under the influence of drugs or other strong stimulants and as 
a results causes any of the following consequences shall be liable to a fine of from VND20,000,000 to VND 100,000,000 or face a penalty of up to 03 years' community sentence or 01 - 
03 years' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 07 years' 
imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000; 
3. This offence committed in any of the following cases shall carry a penalty of 05 - 12 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
4. Any person who makes use of his/her power to request another person to operate a vehicle on 
public roads in the knowledge that he/she does not have a driver license, capable health, or is 
under the minimum driving age, is under the influence of alcohol and with blood or breath 
alcohol content above the limit, or under the influence of drugs or other strong stimulants and as 
a results causes bodily harm to 01 person who suffers from 31% - 60% physical disability or 
bodily harm to ≥ 02 people who suffer from a total physical disability of 31% - 60% shall be 
liable to a fine of from VND 20,000,000 to VND 100,000,000 or face a penalty of up to 03 years' 
community sentence: 
5. The offender might also be liable to a fine of from VND 10,000,000 to VND 30,000,000 or 
prohibited from holding certain positions or doing certain jobs for 01 - 05 years. 
"
What are the consequences for allowing an unqualified person to drive a vehicle on public roads?,"If someone allows their friend without a driver's license to drive and it causes serious injury, what legal penalties might they face?","As a vehicle owner, how can I legally avoid liability when lending my car to an unqualified driver?",df2f87e9-9d6b-4b24-ba9a-2175ed5065f8,"Article 264. Allowing an unqualified person to operate a vehicle on public roads1. Any person who owns or manages a road vehicle and allows another person who does not 
have a driver license or is under the minimum driving age or under the influence of alcohol and 
with blood or breath alcohol content above the limit or under the influence of drugs or other 
strong stimulants or otherwise unqualified and as a results causes any of the following 
consequences shall be liable to a fine of from VND 10,000,000 to VND 50,000,000 or face a 
penalty of up to 03 years' community sentence: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a fine of from VND 
50,000,000 to VND 200,000,000 or a penalty of 06 - 36 months' imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 03 - 07 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
4. Any person who owns or manages a road vehicle and allows another person who does not 
have a driver license or is under the minimum driving age or under the influence of alcohol and 
with blood or breath alcohol content above the limit or under the influence of drugs or other 
strong stimulants or otherwise unqualified and as a results causes bodily harm to 01 person who 
suffers from 31% - 60% physical disability or bodily harm to ≥ 02 people who suffer from a total 
physical disability of 31% - 60% shall be liable to a fine of from VND 10,000,000 to VND 
50,000,000 or face a penalty of up to 02 years' community sentence. 
5. The offender might also be liable to a fine of from VND 10,000,000 to VND 30,000,000."
What is the penalty for organizing an illegal street race involving cars or motorbikes?,"If someone organizes a street race that involves betting and causes injury to two people with moderate physical disabilities, what legal consequences might they face?","As an organizer of a street race, how can I ensure compliance with the law to avoid criminal liability?",0b8205b2-a811-4ab0-ab4a-7a385a6c1401,"Article 265. Organizing illegal street races 
1. Any person who illegally organizes a street race which involves cars, motorbikes, or other 
motor vehicles shall be liable to a fine of from VND 30,000,000 to VND 100,000,000 or face a 
penalty of up to 03 years' community sentence or 01 - 05 years' imprisonment. 
2. This offence committed in any of the following cases shall carry a fine of from VND 
100,000,000 to VND 500,000,000 or a penalty of 03 - 07 years' imprisonment: 
a) The street race is participated by ≥ 10 vehicles or the offender organizes ≥ street races at the 
same time; 
b) The street race involves betting; 
c) The offender organizes resistance to people in charge of road traffic safety and order or people 
in charge of dismissing the street race; 
d) The street race is held in a crowded area; 
dd) Safety equipment is removed from the racing vehicles; 
e) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
g) The offence results in bodily harm to ≥02 people, each of whom suffers from 31% - 60% 
physical disability; 
h) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
i) The offence results in property damage of from VND 100,000,000 to under VND 500,000,000; 
k) This offence or street racing is recommitted. 
3. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000; 
dd) Dangerous recidivism. 
4. This offence committed in any of the following cases shall carry a penalty of 12 - 20 years' 
imprisonment or life imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more;c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%. 
d) The offence results in property damage of ≥ VND 1,500,000,000; 
5. If the offence results in bodily harm to 01 person who suffers from 31% - 60% physical 
disability, or bodily harm to ≥ 02 who suffer from a total physical disability of 31% - 60%, the 
offender shall face a penalty of 01 - 06 years' imprisonment. 
6. The offender might also be liable to a fine of from VND 10,000,000 to VND 50,000,000. 
"
"What is the maximum fine for illegal street racing involving bodily harm to one person with physical disability between 31% and 60%, according to Vietnamese law?","If a group of teenagers organizes an illegal street race in a busy downtown area, causing multiple injuries, what legal consequences might they face under the provisions for illegal street racing?","As someone who has organized an illegal street race before and is now facing charges, what steps can I take to understand my potential penalties and how to prepare for court?",06e1dd9a-37c3-48c7-8cb3-1c2f19c92628,"Article 266. Illegal street racing 
1. Any person who participates in an illegal street race which involves cars, motorbikes, or other 
motor vehicles in any of the following cases shall be liable to a fine of from VND 10,000,000 to 
VND 50,000,000 or face a penalty of up to 02 years' community sentence or 03 - 24 months' 
imprisonment: 
a) The offence results in bodily harm to 01 people who suffers from 31% - 60% physical 
disability; 
b) The offence results in bodily harm to ≥ 02 people who suffer from a total physical disability of 
31% - 60%; 
c) The offender previously incurred a civil penalty or has a previous conviction for the same 
offence which has not been expunged. 
2. This offence committed in any of the following cases shall carry a fine of from VND 
50,000,000 to VND 150,000,000 or a penalty of 01 - 05 years' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000; 
dd) The offender causes an accident and leaves the site to evade responsibility or fails to help the 
victim; 
e) The offender participates in betting; 
g) The offender resists people in charge of road traffic safety and order or people in charge of 
dismissing the street race; 
h) The street race is held in a crowded area; 
i) Safety equipment is removed from the racing vehicles; 
k) Dangerous recidivism. 
3. This offence committed in any of the following cases shall carry a penalty of 05 - 10 years' 
imprisonment:a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
4. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%; 
d) The offence results in property damage of ≥ VND 1,500,000,000. 
5. The offender might also be liable to a fine of from VND 10,000,000 to VND 50,000,000. 
"
What are the penalties for committing an offence against regulations on control of railway vehicles?,"If a train driver operates without a license and causes injury to two people with severe physical disabilities, what legal consequences might they face?","As someone responsible for railway safety, how can I ensure compliance with the law to avoid serious penalties?",f4dd15a1-e472-407e-b5a6-94c55d83ccb8,"Article 267. Offences against regulations on control of railway vehicles 
1. Any person who commands or control a railway vehicle and violates regulations on railway 
safety in any of the following cases shall be liable to a fine of from VND 50,000,000 to VND 
200,000,000 or face a penalty of up to 03 years' community sentence or 01 - 05 years' 
imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 10 years' 
imprisonment: 
a) The offender does not have a license, qualification, or certificate suitable for his/her duties; 
b) The offender commits the offence under the influence of alcohol and with blood or breath 
alcohol content above the limit, or under the influence of drugs or other strong stimulants banned 
by law; 
c) The offender leaves the site after causing the accident to evade responsibility or fails to help 
the victim;d) The offender fails to comply with the commands of commander or person in charge of railway 
safety; 
dd) The offence results in the death of 02 people; 
e) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
g) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
h) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%; 
d) The offence results in property damage of ≥ VND 1,500,000,000. 
4. If this offence poses a threat to life, health or property of other people and is not promptly 
prevented, the offender shall be liable to a fine of from VND 10,000,000 to VND 50,000,000 or 
face a penalty of up to 02 years' community sentence or 03 - 24 months' imprisonment. 
5. If this offence results in bodily harm to 01 person who suffers from 31% - 60% physical 
disability, or bodily harm to 02 or more people who suffer from a total physical disability of 31% 
- 60%, the offender shall be liable to a fine of from VND 30,000,000 to VND 100,000,000 or up 
to 03 years' community sentence or 03 - 24 months' imprisonment. 
6. The offender might also be prohibited from holding certain positions or doing certain jobs for 
01 - 05 years. 
"
What is the fine for obstructing rail traffic that results in bodily harm to two people each with between 31% and 60% physical disability?,"If a person accidentally blocks railway tracks while working on a construction site, could they face legal consequences under this law?","As someone who works near railway lines, what steps can I take to ensure I comply with the regulations and avoid penalties for obstructing rail traffic?",09248b82-877c-4051-9ff2-93a28e3624d9,"Article 268. Obstruction of rail traffic  
1. Any person who places obstacles on the railway; moves the rail or sleepers; illegally drills, 
digs, cuts the railway ground, opens crossing, builds drains or other illegal works across the 
railway; breaks, changes, moves, blocks railway signals, signs, milestones; lets animals cross the 
railway against the rules or allows animals pulling a vehicle across the railway without a rider; 
illegally uses a self-made vehicle or vehicle banned from railway; damages railway vehicles or 
illegally occupies railway safety corridors or perimeters in any of the following cases shall be 
liable to a fine of from VND 30,000,000 to VND 100,000,000 or face a penalty of up to 03 years' 
community sentence or 01 - 03 years' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability;c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000; 
dd) The offender previously incurred a civil penalty or has a previous conviction for the same 
offence which has not been expunged. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 10 years' 
imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%; 
d) The offence results in property damage of ≥ VND 1,500,000,000. 
4. If this offence results in bodily harm to 01 person who suffers from 31% - 60% physical 
disability, or bodily harm to ≥ 02 people who suffer from a total physical disability of 31% - 
60%, the offender shall be liable to a fine of from VND 10,000,000 to VND 100,000,000 or face 
a penalty of up to 02 years' community sentence or 03 - 24 months' imprisonment: 
5. If this offence poses a threat to life, health or property of other people and is not promptly 
prevented, the offender shall be liable to a fine of from VND 10,000,000 to VND 100,000,000 or 
face a penalty of up to 02 years' community sentence or 03 - 24 months' imprisonment. 
"
What is the penalty for allowing unsafe railway vehicles into operation that causes death to one person?,"A railway company uses a vehicle without proper registration and it leads to an accident resulting in two people with severe injuries, what legal consequences might they face according to this law?","If I am responsible for railway operations and want to avoid penalties, what steps should I take regarding the safety standards of vehicles?",f9a9fa0f-f7cc-42bc-9576-9bd222302dd1,"Article 269. Allowing the use of unsafe railway vehicles or equipment into operation 
1. Any person who is responsible for operation or operating conditions of railway vehicles but 
allows the use of a vehicle or piece of equipment that does not have the certificate of registration, 
inspection, or that does not satisfy technical standards or safety standards and as a result causes 
any of the following consequences, or was disciplined for the same offence, shall be liable to a 
fine of from VND 20,000,000 to VND 100,000,000 or face a penalty of up to 03 years' 
community sentence or 01 - 05 years' imprisonment: 
a) The offence results in the death of 01 person or bodily harm to 01 person who suffers from ≥ 
61% physical disability;b) The offence results in bodily harm to 02 people, each of whom suffers from 31% - 60% 
physical disability; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
61% - 121%; 
d) The offence results in property damage of from VND 100,000,000 to under VND 
500,000,000. 
2. This offence committed in any of the following cases shall carry a penalty of 03 - 10 years' 
imprisonment: 
a) The offence results in the death of 02 people; 
b) The offence results in bodily harm to 02 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
122% - 200%; 
d) The offence results in property damage of from VND 500,000,000 to under VND 
1,500,000,000. 
3. This offence committed in any of the following cases shall carry a penalty of 07 - 15 years' 
imprisonment: 
a) The offence results in the death of 03 or more people; 
b) The offence results in bodily harm to 03 people, each of whom suffers from 61% physical 
disability or more; 
c) The offence results in bodily harm to ≥ 03 people who suffer from a total physical disability of 
≥ 201%; 
d) The offence results in property damage of ≥ VND 1,500,000,000. 
4. If this offence results in bodily harm to  01 person who suffers from 31% - 60% physical 
disability or bodily harm to ≥ 02 people who suffer from a total physical disability of 31% - 
60%, the offender shall be liable to a fine of from VND 20,000,000 to VND 100,000,000 or face 
a penalty of up to 02 years' community sentence or 03 - 24 months' imprisonment. 
5. The offender might also be prohibited from holding certain positions or doing certain jobs for 
01 - 05 years. 
"
